"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 29 15:03:41 MSK 2020","Wed Jul 29 15:04:12 MSK 2020","30585","","Ипотека","","Расчет ипотеки на готовое жильё","","Расчет ипотеки на готовое жильё",""
"failed","Wed Jul 29 15:03:41 MSK 2020","Wed Jul 29 15:04:12 MSK 2020","31793","","","","","","Расчет ипотеки на готовое жильё",""
